"PRODUCT_CODE","PRODUCT_NAME","EGL_DEPARTMENT","EGL_TRANSIT"
KS15,AMEX - Scotiabank Standard AMEX >$125K,10211,"00002"
KS50,Scotia Student Line - Scotia Student Line type B  >$125K,10010,"00002"
KS25,ScotiaLine - Investment Lending,10010,"00002"
KS38,ScotiaLine - RRSP Catch-up - RE Secured,10010,"00002"
KS55,VISA Classic - Corporate Credit,10210,"00002"
KS76,VISA Classic - Student Banking Advantage Account plan - RE Secured,10210,"00002"
KS06,AMEX - Scotiabank Gold AMEX Staff - RE Secured,10211,"00002"
M10,Mortgage BNS Genworth Bulk Insured,10010,"00002"
KS45,Scotia Student Line - Scotia Student Line type A >$125K,10010,"00002"
M23,Mortgage Tangerine Genworth Bulk Insured,10910,"00002"
KS112,VISA Gold - Visa Gold-Regular - RE Secured,10210,"00002"
KS98,VISA Classic - Scene-Regular - RE Secured >$125K,10210,"00002"
KS72,VISA Classic - Visa Classic-Regular - RE Secured,10210,"00002"
S14,Indirect Other,15110,"00002"
M27,Mortgage Tangerine Guaranty Bulk Insured,10910,"00002"
KS28,ScotiaLine - Investment Lending - RE Secured >$125K,10010,"00002"
KS81,VISA Classic - Student Line > $125K,10210,"00002"
KS73,VISA Classic - Visa Classic-Regular > $125K,10210,"00002"
KS42,ScotiaLine - Real Estate Secured >$125K,10010,"00002"
KS130,VISA Value - Visa Value-No Fee - RE Secured,10210,"00002"
M04,Mortgage BNS Genworth Bulk Insured,10010,"00002"
KS88,VISA Classic - Visa Classic-Staff - RE Secured,10210,"00002"
KS106,VISA Gold - Visa Gold-No Fee - RE Secured >$125K,10210,"00002"
KS39,ScotiaLine - RRSP Catch-up > $125K,10010,"00002"
KS92,VISA Classic - Learn-Student - RE Secured,10210,"00002"
KS49,Scotia Student Line - Scotia Student Loan type A >$125K,10010,"00002"
KS101,VISA Gold - Visa Gold-BA No Fee >$125K,10210,"00002"
KS75,VISA Classic - Student Banking Advantage Account plan,10210,"00002"
KS68,VISA Classic - Visa Classic-Scotia Hockey - RE Secured,10210,"00002"
M28,Mortgage Tangerine Guaranty Individual Insured,10910,"00002"
S11,Indirect - Home Improvement,15110,"00002"
KS115,VISA Gold - ScotiaProfessional Plan,10210,"00002"
KS05,AMEX - Scotiabank Gold AMEX Staff,10211,"00002"
KS125,ScotiaLine Visa - Regular >$125K,10010,"00002"
KS93,VISA Classic - Learn-Student > $125K,10210,"00002"
KS78,VISA Classic - Student Banking Advantage Account plan - RE Secured >$125K,10210,"00002"
M24,Mortgage Tangerine Guaranty Individual Insured,10910,"00002"
M17,Mortgage Tangerine CMHC Bulk Insured,10910,"00002"
KS01,AMEX - Scotiabank Gold AMEX,10211,"00002"
KS95,VISA Classic - Scene-Regular,10210,"00002"
KS129,VISA Value - Visa Value-No Fee,10210,"00002"
KS64,VISA Classic - Visa Classic-No Fee - RE Secured,10210,"00002"
M01,Mortgage BNS CMHC Individual Insured,10010,"00002"
KS82,VISA Classic - Student Line - RE Secured >$125K,10210,"00002"
KS09,AMEX - Scotiabank Platinum AMEX,10211,"00002"
KS51,Scotia Student Line - Scotia Professional Student Plan type A,10010,"00002"
KS110,VISA Gold - Private Banking - RE Secured >$125K,17510,"00002"
KS16,AMEX - Scotiabank Standard AMEX - RE Secured >$125K,10211,"00002"
KS67,VISA Classic - Visa Classic-Scotia Hockey,10210,"00002"
KS10,AMEX - Scotiabank Platinum AMEX - RE Secured,10211,"00002"
KS19,AMEX - Scotiabank Standard AMEX Staff >$125K,10211,"00002"
M02,Mortgage BNS CMHC Bulk Insured,10010,"00002"
KS26,ScotiaLine - Investment Lending - RE Secured,10010,"00002"
KS91,VISA Classic - Learn-Student,10210,"00002"
S08,SPL - STEP,10010,"00002"
KS135,VISA Value - Companion Card >$125K,10210,"00002"
KS32,ScotiaLine - IMA - RE Secured >$125K,10010,"00002"
KS54,Scotia Student Line - Scotia Student Line type B  >$125K,10010,"00002"
KS07,AMEX - Scotiabank Gold AMEX Staff >$125K,10211,"00002"
KS102,VISA Gold - Visa Gold-BA No Fee - RE Secured >$125K,10210,"00002"
KS34,ScotiaLine - Regular - RE Secured,10010,"00002"
M22,Mortgage Tangerine Genworth Individual Insured,10910,"00002"
S06,Direct - RSP,10010,"00002"
KS43,Scotia Student Line - Scotia Student Line type A,10010,"00002"
KS65,VISA Classic - Visa Classic-No Fee > $125K,10210,"00002"
KS77,VISA Classic - Student Banking Advantage Account plan > $125K,10210,"00002"
KS41,ScotiaLine - Real Estate Secured,10010,"00002"
KS20,AMEX - Scotiabank Standard AMEX Staff - RE Secured >$125K,10211,"00002"
KS40,ScotiaLine - RRSP Catch-up - RE Secured >$125K,10010,"00002"
KS29,ScotiaLine - IMA,10010,"00002"
KS118,VISA Gold - ScotiaProfessional Plan - RE Secured >$125K,10210,"00002"
M11,Mortgage BNS Genworth Individual Insured,10010,"00002"
KS104,VISA Gold - Visa Gold-No Fee - RE Secured,10210,"00002"
KS03,AMEX - Scotiabank Gold AMEX >$125K,10211,"00002"
KS137,VISA Value - Visa Value Regular,10210,"00002"
KS109,VISA Gold - Private Banking >$125K,17510,"00002"
KS02,AMEX - Scotiabank Gold AMEX - RE Secured,10211,"00002"
M15,Mortgage BNS Conventional Uninsured,10010,"00002"
KS70,VISA Classic - Visa Classic-Scotia Hockey - RE Secured >$125K,10210,"00002"
KS14,AMEX - Scotiabank Standard AMEX - RE Secured,10211,"00002"
KS36,ScotiaLine - Regular - RE Secured >$125K,10010,"00002"
KS120,VISA Gold - Visa Gold-Staff - RE Secured,10210,"00002"
