"PROVINCE_NAME","PROV_CD","INSRT_PROCESS_TMSTMP"
ONTARIO,ON,2017-07-27-15.37.26.000000
PRINCE EDWARD IS,PE,2017-07-27-15.37.26.000000
YUKON TERRITORY,YT,2017-07-27-15.37.24.000000
NOVA SCOTIA,NS,2017-07-27-15.37.21.000000
N.W. TERRITORIES,NT,2017-07-27-15.37.25.000000
SASKATCHEWAN,SK,2017-07-27-15.37.24.000000
ALBERTA.,AB,2017-07-27-15.37.23.000000
NEW BRUNSWICK,NB,2017-07-27-15.37.21.000000
NUNAVUT,NU,2017-07-27-15.37.25.000000
ALBERTA,AB,2017-07-27-15.37.22.000000
MANITOBA,MB,2017-07-27-15.37.24.000000
QUEBEC,QC,2017-07-27-15.37.27.000000
NEWFOUNDLAND,NL,2017-07-27-15.37.27.000000
GEORGIA,GA,2017-07-27-15.37.23.000000
DOMINICAN REPUBLIC,DO,2017-07-27-15.37.22.000000
BRITISH COLUMBIA,BC,2017-07-27-15.37.27.000000
