TRNST_NUM,ACCOUNT_STATUS,DISTRIBUTION,EFFECTIVE_FROM,EFFECTIVE_TO
07112,Default,0.3810,200311,200410
07112,Delinquent,0.6189,200311,200410
36442,Default,0.3810,200311,200410
36442,Delinquent,0.6189,200311,200410
78808,Default,1.0000,200311,200410
78808,Delinquent,0.0000,200311,200410
07112,Delinquent,0.6189,200411,200510
07112,Default,0.3810,200411,200510
36442,Delinquent,0.6189,200411,200510
36442,Default,0.3810,200411,200510
78808,Delinquent,0.0000,200411,200510
78808,Default,1.0000,200411,200510
07112,Default,0.3810,200511,200610
07112,Delinquent,0.6189,200511,200610
36442,Default,0.3810,200511,200610
36442,Delinquent,0.6189,200511,200610
78808,Default,1.0000,200511,200610
78808,Delinquent,0.0000,200511,200610
07112,Delinquent,0.6189,200611,200710
07112,Default,0.3810,200611,200710
36442,Delinquent,0.6189,200611,200710
36442,Default,0.3810,200611,200710
78808,Delinquent,0.0000,200611,200710
78808,Default,1.0000,200611,200710
07112,Default,0.3810,200711,200810
07112,Delinquent,0.6189,200711,200810
36442,Default,0.3810,200711,200810
36442,Delinquent,0.6189,200711,200810
78808,Default,1.0000,200711,200810
78808,Delinquent,0.0000,200711,200810
07112,Delinquent,0.6189,200811,200910
07112,Default,0.3810,200811,200910
36442,Delinquent,0.6189,200811,200910
36442,Default,0.3810,200811,200910
78808,Delinquent,0.0000,200811,200910
78808,Default,1.0000,200811,200910
07112,Default,0.3810,200911,201010
07112,Delinquent,0.6189,200911,201010
36442,Default,0.3810,200911,201010
36442,Delinquent,0.6189,200911,201010
78808,Default,1.0000,200911,201010
78808,Delinquent,0.0000,200911,201010
07112,Delinquent,0.6189,201011,201110
07112,Default,0.3810,201011,201110
36442,Delinquent,0.6189,201011,201110
36442,Default,0.3810,201011,201110
78808,Delinquent,0.0000,201011,201110
78808,Default,1.0000,201011,201110
07112,Default,0.3810,201111,201210
07112,Delinquent,0.6189,201111,201210
36442,Default,0.3810,201111,201210
36442,Delinquent,0.6189,201111,201210
78808,Default,1.0000,201111,201210
78808,Delinquent,0.0000,201111,201210
07112,Delinquent,0.6189,201211,201310
07112,Default,0.3810,201211,201310
36442,Delinquent,0.6189,201211,201310
36442,Default,0.3810,201211,201310
78808,Delinquent,0.0000,201211,201310
78808,Default,1.0000,201211,201310
07112,Default,0.3810,201311,201410
07112,Delinquent,0.6189,201311,201410
36442,Default,0.3810,201311,201410
36442,Delinquent,0.6189,201311,201410
78808,Default,1.0000,201311,201410
78808,Delinquent,0.0000,201311,201410
07112,Delinquent,0.4756,201411,201510
07112,Default,0.5243,201411,201510
36442,Delinquent,0.4756,201411,201510
36442,Default,0.5243,201411,201510
78808,Delinquent,0.0000,201411,201510
78808,Default,1.0000,201411,201510
07112,Default,0.4886,201511,201610
07112,Delinquent,0.5113,201511,201610
36442,Default,0.4886,201511,201610
36442,Delinquent,0.5113,201511,201610
78808,Default,1.0000,201511,201610
78808,Delinquent,0.0000,201511,201610
07112,Delinquent,0.5267,201611,201710
07112,Default,0.4732,201611,201710
36442,Delinquent,0.5267,201611,201710
36442,Default,0.4732,201611,201710
78808,Delinquent,0.0000,201611,201710
78808,Default,1.0000,201611,201710
07112,Default,0.4986,201711,201810
07112,Delinquent,0.5013,201711,201810
36442,Default,0.4986,201711,201810
36442,Delinquent,0.5013,201711,201810
78808,Default,1.0000,201711,201810
78808,Delinquent,0.0000,201711,201810
07112,Delinquent,0.5620,201811,201910
07112,Default,0.4379,201811,201910
36442,Delinquent,0.5620,201811,201910
36442,Default,0.4379,201811,201910
78808,Delinquent,0.0000,201811,201910
78808,Default,1.0000,201811,201910
07112,Default,0.4432,201911,202010
07112,Delinquent,0.5567,201911,202010
36442,Default,0.4432,201911,202010
36442,Delinquent,0.5567,201911,202010
78808,Default,1.0000,201911,202010
78808,Delinquent,0.0000,201911,202010
07112,Delinquent,0.6997,202011,202110
07112,Default,0.3002,202011,202110
36442,Delinquent,0.6997,202011,202110
36442,Default,0.3002,202011,202110
78808,Delinquent,0.0000,202011,202110
78808,Default,1.0000,202011,202110
07112,Default,0.2992,202111,202210
07112,Delinquent,0.7007,202111,202210
36442,Default,0.2992,202111,202210
36442,Delinquent,0.7007,202111,202210
78808,Default,1.0000,202111,202210
78808,Delinquent,0.0000,202111,202210
07112,Delinquent,0.7404,202211,202310
07112,Default,0.2595,202211,202310
36442,Delinquent,0.7404,202211,202310
36442,Default,0.2595,202211,202310
78808,Delinquent,0.0000,202211,202310
78808,Default,1.0000,202211,202310
07112,Delinquent,0.7828,202311,202410
07112,Default,0.2171,202311,202410
36442,Delinquent,0.7828,202311,202410
36442,Default,0.2171,202311,202410
78808,Delinquent,0.0000,202311,202410
78808,Default,1.0000,202311,202410
07112,Delinquent,0.7689,202411,202510
07112,Default,0.2311,202411,202510
36442,Delinquent,0.7689,202411,202510
36442,Default,0.2311,202411,202510
78808,Delinquent,0.0000,202411,202510
78808,Default,1.0000,202411,202510
07112,Delinquent,0.7246,202511,202610
07112,Default,0.2754,202511,202610
36442,Delinquent,0.7246,202511,202610
36442,Default,0.2754,202511,202610
78808,Delinquent,0.0000,202511,202610
78808,Default,1.0000,202511,202610
