SRC_SYS_CD,BASEL_MODEL_ID,MODEL_DESC,PRODUCT_ALLOCATION,EFFECTIVE_FROM,EFFECTIVE_TO
KS,8001,HELOC LGD Non Defaulters,0.0069,202511,202610
KS,8002,HELOC LGD Defaulters,0.0069,202511,202610
KS,8005,LOC LGD Non Defaulters,0.1907,202511,202610
KS,8006,LOC LGD Defaulters,0.1907,202511,202610
KS,8009,CC LGD Non Defaulters,0.5283,202511,202610
KS,8010,CC LGD Defaulters,0.5283,202511,202610
KS,8013,SL Type A LGD Non Defaulters,0.0015,202511,202610
KS,8014,SL Type A LGD Defaulters,0.0015,202511,202610
KS,8017,SL Type B LGD Non Defaulters,0.0031,202511,202610
KS,8018,SL Type B LGD Defaulters,0.0031,202511,202610
MOR,8022,BNS-MOR LGD - Non Defaulters,0.0108,202511,202610
MOR,8023,BNS-MOR LGD - Defaulters,0.0108,202511,202610
SPL,8028,DTL LGD-ND,0.0757,202511,202610
SPL,8029,DTL LGD-D,0.0757,202511,202610
SPL,8031,ITL LGD-ND,0.0809,202511,202610
SPL,8032,ITL LGD-D,0.0809,202511,202610
KS,8001,HELOC LGD Non Defaulters,0.0090,202411,202510
KS,8002,HELOC LGD Defaulters,0.0090,202411,202510
KS,8005,LOC LGD Non Defaulters,0.1941,202411,202510
KS,8006,LOC LGD Defaulters,0.1941,202411,202510
KS,8009,CC LGD Non Defaulters,0.4608,202411,202510
KS,8010,CC LGD Defaulters,0.4608,202411,202510
KS,8013,SL Type A LGD Non Defaulters,0.0020,202411,202510
KS,8014,SL Type A LGD Defaulters,0.0020,202411,202510
KS,8017,SL Type B LGD Non Defaulters,0.0030,202411,202510
KS,8018,SL Type B LGD Defaulters,0.0030,202411,202510
MOR,8022,BNS-MOR LGD - Non Defaulters,0.0145,202411,202510
MOR,8023,BNS-MOR LGD - Defaulters,0.0145,202411,202510
SPL,8028,DTL LGD-ND,0.1014,202411,202510
SPL,8029,DTL LGD-D,0.1014,202411,202510
SPL,8031,ITL LGD-ND,0.1008,202411,202510
SPL,8032,ITL LGD-D,0.1008,202411,202510
KS,8001,HELOC LGD Non Defaulters,0.0091,202311,202410
KS,8002,HELOC LGD Defaulters,0.0091,202311,202410
KS,8005,LOC LGD Non Defaulters,0.1773,202311,202410
KS,8006,LOC LGD Defaulters,0.1773,202311,202410
KS,8009,CC LGD Non Defaulters,0.4620,202311,202410
KS,8010,CC LGD Defaulters,0.4620,202311,202410
KS,8013,SL Type A LGD Non Defaulters,0.0017,202311,202410
KS,8014,SL Type A LGD Defaulters,0.0017,202311,202410
KS,8017,SL Type B LGD Non Defaulters,0.0030,202311,202410
KS,8018,SL Type B LGD Defaulters,0.0030,202311,202410
MOR,8022,BNS-MOR LGD - Non Defaulters,0.0144,202311,202410
MOR,8023,BNS-MOR LGD - Defaulters,0.0144,202311,202410
