"CITY_NM","METRPL_AREA_NM","EFF_FROM_YR_MTH","PROV","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Bowman,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Cantley,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Chelsea,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Clarence-Rockland,Ottawa - Gatineau,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Denholm,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Gatineau,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Ange-Gardien,Ottawa - Gatineau,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
La Pêche,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mayo,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Notre-Dame-de-la-Salette,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Ottawa,Ottawa - Gatineau,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Pontiac,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Russell,Ottawa - Gatineau,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Val-des-Bois,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Val-des-Monts,Ottawa - Gatineau,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Colwood,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Cole Bay 3,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Becher Bay 1,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Central Saanich,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
East Saanich 2,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Esquimalt,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Highlands,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Langford,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Metchosin,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
New Songhees 1A,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
North Saanich,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saanich,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sooke,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
T'Sou-ke,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Victoria,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Capital H (Part 1),Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Oak Bay,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sidney,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
South Saanich 1,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Union Bay 4,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
View Royal,Victoria,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Airdrie,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Cochrane,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Tsuu T'ina Nation 145,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Bradford West Gwillimbury,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Chippewas of Georgina Island First Nation,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Halton Hills,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Milton,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
New Tecumseth,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Orangeville,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Toronto,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Whitchurch-Stouffville,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Beauharnois,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Bois-des-Filion,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Brossard,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
