"CITY_NM","METRPL_AREA_NM","METRPL_AREA_NM_ORIG","PROV","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Waterloo,Kitchener - Cambridge - Waterloo,Kitchener - Cambridge - Waterloo,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Port Colborne,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Woolwich,Kitchener - Cambridge - Waterloo,Kitchener - Cambridge - Waterloo,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Niagara-on-the-Lake,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thorold,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. Catharines,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Welland,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lincoln,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kitchener,Kitchener - Cambridge - Waterloo,Kitchener - Cambridge - Waterloo,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pelham,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cambridge,Kitchener - Cambridge - Waterloo,Kitchener - Cambridge - Waterloo,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Niagara Falls,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fort Erie,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wainfleet,St. Catharines - Niagara,St. Catharines - Niagara,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wilmot,Kitchener - Cambridge - Waterloo,Kitchener - Cambridge - Waterloo,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Dumfries,Kitchener - Cambridge - Waterloo,Kitchener - Cambridge - Waterloo,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mission,Abbotsford - Mission,Abbotsford - Mission,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
