"SOURCE_SYSTEM_CODE","BASEL_MORTGAGE_INSURER_GROUP_DES","BULK_INDICATOR","BASEL_PRODUCT_CODE","BASEL_PRODUCT_TYPE_CODE","ASSET_CLASS_NUMBER","ASSET_CLASS_DESCRIPTION","PRODUCT_ID","PORTFOLIO_NAME","PRODUCT_NAME","SUB_PRODUCT_NAME","BASEL_SUB_PRODUCT_NAME","BCAR_SCHEDULE_NUMBER","NCR_EXPOSURE_CLASS_KEY_VALUE","CCAR_BASEL_PRODUCT_TYPE_NAME","CCAR_SHORT_NAME","CURRENCY_OF_ACCOUNT","BASEL_PRODUCT","BASEL_PROD_ABBR","SECURITY_TYPE","PD_BAND_EXPOSURE_CLASS_KEY_VALUE","PD_BAND_EXPOSURE_CLASS_DESCRIPTI","NCR_EXPOSURE_CLASS_DESCRIPTION"
MOR,CMHC,N,MTG BNS,CMHC I,1,Real Estate Secured,M01,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS CMHC Individual Insured,30,"0510",CMHC_I_BNS,CMHCIBNS,CAD,BNS CMHC Individual Insured,BNS CMHC INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
MOR,CMHC,Y,MTG BNS,CMHC B,1,Real Estate Secured,M02,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS CMHC Bulk Insured,30,"0510",CMHC_B_BNS,CMHCBBNS,CAD,BNS CMHC Bulk Insured,BNS CMHC BULK,Insured,"0502",Mortgages,Residential Real Estate
MOR,GENWORTH,N,MTG BNS,GENWORTH I,1,Real Estate Secured,M03,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Individual Insured,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH Individual Insured,BNS GENWORTH INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
MOR,GENWORTH,Y,MTG BNS,GENWORTH B,1,Real Estate Secured,M04,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Bulk Insured,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH Bulk Insured,BNS GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
MOR,GEM SPEC,N,MTG BNS,GENWORTH I,1,Real Estate Secured,M05,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Individual Insured,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH Individual Insured,BNS GENWORTH INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
MOR,GEM SPEC,Y,MTG BNS,GENWORTH B,1,Real Estate Secured,M06,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Bulk Insured,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH Bulk Insured,BNS GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
MOR,GEMICO,N,MTG BNS,GENWORTH I,1,Real Estate Secured,M07,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Individual Insured,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH Individual Insured,BNS GENWORTH INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
MOR,GEMICO,Y,MTG BNS,GENWORTH B,1,Real Estate Secured,M08,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Bulk Insured,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH Bulk Insured,BNS GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
MOR,MICC,N,MTG BNS,GENWORTH I,1,Real Estate Secured,M09,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Individual Insured,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH Individual Insured,BNS GENWORTH INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
MOR,MICC,Y,MTG BNS,GENWORTH B,1,Real Estate Secured,M10,Consumer,Mortgage (MTG),Mortgage BNS,Mortgage BNS Genworth Bulk Insured,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH Bulk Insured,BNS GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
