"ORG_UNIT_ID","ORG_UNIT_LVL","TRNST_NUM","ORG_UNIT_NM","CITY","CLS_DT","OPN_DT","PH_NUM","POSTAL_ZIP_CD","PROV_STATE","STRT_ADDR","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17580173,,"12146",SCOTIA PLAZA V. P. O. ADJUSTMENT                  ,TORONTO           ,,,,       ,ONTARIO           ,******************************************,2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
91195124,,"205  ",BAHAMAS GAAP                                      ,NASSAU            ,,2007-07-01,************                            ,       ,BAHAMAS           ,"NASSAU, BAHAMAS                           ",2017-07-25-18.14.25.000000,
91196228,,"5585 ","CURRIDABAT PLAZA DEL SOL, CR                      ",                  ,,2018-08-01,************                            ,       ,UNITED STATES     ,                                          ,2017-07-25-18.14.25.000000,2019-05-07-10.09.13.000000
91195461,,"3325 ",SCOTIA INVERLAT DERIVADOS                         ,                  ,,2016-11-01,************                            ,       ,                  ,                                          ,2017-07-25-18.14.25.000000,
17580735,,"84665","J.F.K. BUILDING, SANTO DOMINGO, R.D.              ",******************,,,,       ,******************,******************************************,2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
17580819,Transit        ,"97592",BANK ONLY - DOMESTIC VISA ADJUSTMENTS             ,******************,,,,       ,******************,******************************************,2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
17580781,,"91843",ST.JOHN'S NFLD. TRAINING - 3600 SYSTEM            ,******************,,,,A1C 5H5,******************,******************************************,2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
91195180,,"3575 ",FIDEICOMISO TERCEROS GAAP                         ,                  ,,2016-11-01,************                            ,       ,                  ,                                          ,2017-07-25-18.14.25.000000,
91195027,,"9522 ",INSURANCE CANADA PROJECTS                         ,TORONTO           ,,,************                            ,M5C 2W1,ONTARIO           ,"100 YONGE STREET, 4TH FLOOR               ",2017-07-25-18.14.25.000000,
91195119,,"3255 ",SBE CREDIT TRS                                    ,TORONTO           ,,2012-05-01,"4166493408                              ",M5V 2T3,ONTARIO           ,"720 KING STREET WEST, 2ND FLOOR           ",2017-07-25-18.14.25.000000,
91195211,,"2585 ",NBC PPE URUGUAY                                   ,                  ,,2011-03-01,************                            ,       ,URUGUAY           ,                                          ,2017-07-25-18.14.25.000000,
17580323,,"32276",INVESTOR RELATIONS                                ,TORONTO           ,,,,M5H 1H1,ONTARIO           ,"9TH. FLOOR, SCOTIA PLAZA                  ",2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
17580415,,"42093",NOVA SCOTIA SAVINGS & LOANS COMPANY               ,******************,,,,       ,******************,******************************************,2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
91195918,,"3566 ","MT INTERNATIONAL EXPANSION, TORONTO, ONT          ",TORONTO           ,2001-07-15,1996-07-01,************                            ,M5C 2W5,ONTARIO           ,"1 QUEEN STREET EAST, 2ND FLOOR            ",2017-07-25-18.14.25.000000,
91196170,,"8128 ",INTERNATIONAL PENSIONS                            ,TORONTO           ,,2010-12-20,"4168667876                              ",M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 13TH FLOOR           ",2017-07-25-18.14.25.000000,
91195670,,"2576 ",SITE SUPPORT                                      ,SCARBOROUGH       ,,1990-02-01,************                            ,M1L 4S2,ONTARIO           ,"2201 EGLINTON AVENUE EAST                 ",2017-07-25-18.14.25.000000,
91196130,,"2825 ","COLPATRIA TRUST, COLOMBIA                         ",                  ,,2012-02-01,************                            ,       ,COLOMBIA          ,                                          ,2017-07-25-18.14.25.000000,
17580160,,"11395",SCOTIABANK IRELAND LIMITED                        ,DUBLIN            ,,,,       ,REP. OF IRELAND   ,"65-68 ST. STEPHEN'S GREEN, 2 CANADA HOUSE ",2017-07-13-11.53.37.000000,2017-07-13-11.53.37.000000
91195755,,"2394 ",ING PPE ADJUSTMENT                                ,TORONTO           ,2014-06-17,2012-12-01,************                            ,M5C 2W1,ONTARIO           ,"SUITE 505, 100 YONGE STREET               ",2017-07-25-18.14.25.000000,
91195847,,"4465 ",BANCO DE COMERCIO DE EL SALVADOR                  ,******************,2010-06-01,2005-05-01,************                            ,       ,EL SALVADOR       ,******************************************,2017-07-25-18.14.25.000000,
17579663,,"37218","780 BIRCHMOUNT, SCARBOROUGH, ONTARIO              ",SCARBOROUGH       ,,,                                        ,MIK 5H4,ONTARIO           ,"780 BIRCHMOUNT ROAD                       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196692,,"48322",WMCOE                                             ,SCARBOROUGH       ,,,                                        ,M1L 4S2,ONTARIO           ,                                          ,2020-06-15-16.22.46.000000,2023-12-07-21.15.31.000000
17578898,,"44453",N. Y. - SYSTEMS SUPPORT AND ADMIN                 ,NEW YORK          ,,,                                        ,"10006  ",UNITED STATES     ,ONE LIBERTY PLAZA                         ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579246,,"04853",SCOTIA WATEROUS CALGARY OFFICE                    ,CALGARY           ,,,                                        ,T2P 1C5,ALBERTA           ,"SUITE 500, 301 - 8TH AVENUE SW            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577528,Transit        ,"82636",SD PRODUCT CANADA                                 ,TORONTO           ,,,                                        ,M5C 2R9,ONTARIO           ,"20 RICHMOND STREET EAST, 5TH FLOOR        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196657,,"75234",PROJECT MGR CONTRACTOR POOL                       ,SCARBOROUGH       ,,,                                        ,M1L 4S2,ONTARIO           ,                                          ,2019-11-07-00.29.09.000000,2023-12-07-21.15.31.000000
17578866,,"19075",SCOTIABANK (BELIZE) LTD - BELMOPAN                ,BELIZE CITY       ,,,                                        ,       ,BELIZE            ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579181,Transit        ,"95968",BUSINESS SERVICE CENTRE 95968                     ,CALGARY           ,,,                                        ,T2P 1R1,ALBERTA           ,"P.O. BOX 53069, MARLBOROUGH CRO           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575742,,"82966","MT CENTRAL REGION ACCOUNTING, TORONTO, ONT        ",TORONTO           ,,,                                        ,M5C 2W5,ONTARIO           ,"1 QUEEN STREET EAST, 5TH FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575896,Transit        ,"50500","HASTINGS & VERNON, VANCOUVER, B.C.                ",VANCOUVER 6       ,,,                                        ,V6A 1S6,BRITISH COLUMBIA  ,"1220 EAST HASTINGS STREET                 ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579648,,"57208",UNIFIED ONBOARD AND COMPLIANCE                    ,SCARBOROUGH       ,,,                                        ,M1L 4S2,ONTARIO           ,"2201 EGLINTON AVENUE EAST                 ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
81068034,,"92874",CLIENT SOLUTIONS - CANADA                         ,TORONTO           ,,,                                        ,       ,ONTARIO           ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579117,,"45195",IRELAND DERIVATIVE EXPENSES                       ,                  ,,,                                        ,       ,REP. OF IRELAND   ,                                          ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579679,,"64923",EO BCP - ADJUSTMENT                               ,TORONTO           ,,,                                        ,M5C 2W1,ONTARIO           ,"100 YONGE STREET, SUITE 505               ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577291,Transit        ,"51649","WHITECOURT, ALBERTA                               ",WHITECOURT        ,,,                                        ,T7S 1X6,ALBERTA           ,"UNIT 5, 4223 52 AVENUE                    ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
73659001,,"32854",BOB MANAGEMENT                                    ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 13TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
68079006,,"61994",AMEX - PROMO CHEQUES                              ,SCARBOROUGH       ,,,                                        ,       ,ONTARIO           ,"2201 EGLINTON AVENUE EAST                 ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577493,,"35295",SCOTIA INSURANCE (BARBADOS) LIMITED               ,ST. MICHAEL       ,,,                                        ,       ,"BARBADOS, W.I.    ","3RD. FLOOR, INTERNATIONAL TRADING CENTRE  ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579317,Transit        ,"16428",GTB TRADE FINANCE - CTF                           ,TORONTO           ,,,                                        ,M5C 2W5,ONTARIO           ,"1 QUEEN STREET EAST, 2ND FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576737,Transit        ,"00166","MERIVALE & MEADOWLANDS, NEPEAN, ONTARIO           ",NEPEAN            ,,,                                        ,K2G 3K2,ONTARIO           ,"1649 MERIVALE ROAD                        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578546,,"82933",SCOTIA MCLEOD REGIONAL SALES MGR - WESTERN        ,VANCOUVER         ,,,                                        ,V6B 4N9,BRITISH COLUMBIA  ,"650 WEST GEOGIA STREET, SUITE 1800        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579544,Transit        ,"52829",STRATHMORE                                        ,STRATHMORE        ,,,                                        ,T1P 0A2,ALBERTA           ,"108 - 800 PINE ROAD                       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577571,Transit        ,"41301","437 RUE ST. JACQUES OUEST                         ",MONTREAL          ,,,                                        ,H2Y 1P4,QUEBEC            ,"437 RUE ST. JACQUES OUEST                 ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579997,Transit        ,"85233",ST. JOHN'S CENTRALIZED CURRENCY UNIT              ,TORONTO           ,,,                                        ,M3C 0N5,ONTARIO           ,"90 WYNFORD DRIVE, 5TH FLOOR               ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196976,,"07895",RESERVED TRANSIT                                  ,                  ,,,                                        ,       ,                  ,                                          ,2022-11-05-05.18.58.000000,2023-12-07-21.15.31.000000
49371003,Transit        ,"08706",HOLLIS CANADIAN BANK PORTFOLIO LOANS              ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"44 KING STREET WEST                       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17580009,,"02155",GWO SCEI                                          ,NEW YORK          ,,,                                        ,"10006  ","NEW YORK, U. S. A.","1 LIBERTY PLAZA, 165 BROADWAY             ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576696,Transit        ,"20180","LYTTON, B.C.                                      ",LYTTON            ,,,                                        ,V0K 1Z0,BRITISH COLUMBIA  ,"421 MAIN STREET, P.O. BOX 129             ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577972,Transit        ,"71688",IMPLEMENTATION CLIENT SUPPORT                     ,SCARBOROUGH       ,,,                                        ,M1K 5L1,ONTARIO           ,"888 BIRCHMOUNT ROAD 5TH FLOOR             ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17577969,,"51078",WRMP-WHOLESALE RELATION MANAGEMENT PLATFRM        ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"44 KING STREET WEST                       ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
