"ORG_UNIT_HIERARCHY_ID","EFF_FROM_TMSTMP","TRNST_NUM","RGNL_OFFC_TRNST_NUM","DSTRCT_OFFC_TRNST_NUM","RGNL_OFFC_OU_ID","DSTRCT_OFFC_OU_ID","EFF_TO_TMSTMP","CRNT_F","RGNL_OFFC_CD","DSTRCT_OFFC_CD","TRNST_NM","RGNL_OFFC_DESC","DSTRCT_OFFC_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17575649,2004-10-08-00.00.00.000000,"58412","32482","61036",17580325,17580552,9999-12-31-00.00.00.000000,Y,"5    ","40                            ",TORONTO EAST V. P. O. EXPENSE                     ,TORONTO REGION                            ,TORONTO DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577026,2004-10-08-00.00.00.000000,"60830","00810","01750",17580086,17577422,9999-12-31-00.00.00.000000,Y,"7    ","55                            ","MAPLE RIDGE, B. C.                                ",BRITISH COLUMBIA REGION                   ,S.E. B.C./CENTRAL EAST VANCOUVER          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577243,2006-10-13-00.00.00.000000,"57372","68502","31096",17577462,17580307,9999-12-31-00.00.00.000000,Y,"4    ","21                            ","NIAGARA & THOROLD, WELLAND, ONTARIO               ",ONTARIO REGION                            ,HAMILTON & NIAGARA                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576827,2006-04-10-00.00.00.000000,"20610","00810","12690",17580086,17578450,9999-12-31-00.00.00.000000,Y,"7    ","57                            ","OAK BAY AVE & HAMPSHIRE RD VICTORIA, BC           ",BRITISH COLUMBIA REGION                   ,VANCOUVER ISLAND                          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575539,2010-03-12-00.00.00.000000,"70573","12153","51383",17577393,17580478,9999-12-31-00.00.00.000000,Y,"2    ","01                            ",CATALINA                                          ,ATLANTIC REGION                           ,NEWFOUNDLAND AND LABRADOR                 ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575442,2011-05-11-00.00.00.000000,"10181","00661","60871",17580083,17580547,9999-12-31-00.00.00.000000,Y,"3    ","10                            ","COTE DE LIESSE & GRAVELINE, MONTREAL, QUE.        ",QUEBEC & EASTERN ONTARIO                  ,MONTREAL & WEST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579306,2011-05-11-00.00.00.000000,"22731","00661","80861",17580083,17580700,9999-12-31-00.00.00.000000,Y,"3    ","08                            ",PARC & BERNARD                                    ,QUEBEC & EASTERN ONTARIO                  ,MONTREAL & EAST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575156,2003-11-07-00.00.00.000000,"91173","12153","12393",17577393,17577650,9999-12-31-00.00.00.000000,Y,"2    ","07                            ",MT INTEGRATION - ATLANTIC                         ,ATLANTIC REGION                           ,ATLANTIC DIRECT REPORTING UNITS           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580584,2003-11-07-00.00.00.000000,"63842","32482","61036",17580325,17580552,9999-12-31-00.00.00.000000,Y,"5    ","40                            ",TORONTO SUBURBAN R.O. DIRECT BUDGET               ,TORONTO REGION                            ,TORONTO DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579756,2010-08-16-00.00.00.000000,"33100","00810","92130",17580086,17577663,9999-12-31-00.00.00.000000,Y,"7    ","54                            ","GRANDVIEW CORNERS, SURREY, BC                     ",BRITISH COLUMBIA REGION                   ,NORTH COAST & FRASER VALLEY               ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576702,2007-05-11-00.00.00.000000,"70342","68502","24208",17577462,17578452,9999-12-31-00.00.00.000000,Y,"4    ","25                            ","EXETER, ONT.                                      ",ONTARIO REGION                            ,LONDON & AREA                             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576676,2010-03-12-00.00.00.000000,"40139","20719","62059",17580231,17580566,9999-12-31-00.00.00.000000,Y,"6    ","50                            ","BARRHEAD, ALTA.                                   ",PRAIRIE REGION                            ,NORTHERN ALBERTA                          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576860,2011-11-10-00.00.00.000000,"30247","20719","20537",17580231,17580227,9999-12-31-00.00.00.000000,Y,"6    ","41                            ","CORYDON & DALY, WINNIPEG, MAN.                    ",PRAIRIE REGION                            ,WINNIPEG                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576906,2006-05-10-00.00.00.000000,"30650","00810","01750",17580086,17577422,9999-12-31-00.00.00.000000,Y,"7    ","55                            ","RUTLAND, KELOWNA, B. C.                           ",BRITISH COLUMBIA REGION                   ,S.E. B.C./CENTRAL EAST VANCOUVER          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575218,2010-03-12-00.00.00.000000,"31443","12153","51383",17577393,17580478,9999-12-31-00.00.00.000000,Y,"2    ","01                            ",ARNOLD'S COVE                                     ,ATLANTIC REGION                           ,NEWFOUNDLAND AND LABRADOR                 ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576428,2011-03-11-00.00.00.000000,"50112","00661","62661",17580083,17578458,9999-12-31-00.00.00.000000,Y,"3    ","13                            ","ALEXANDRIA, ONT.                                  ",QUEBEC & EASTERN ONTARIO                  ,ST. LAWRENCE                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580707,2003-11-07-00.00.00.000000,"81273","12153","12393",17577393,17577650,9999-12-31-00.00.00.000000,Y,"2    ","07                            ",HALIFAX DATA CENTRE - POSTING                     ,ATLANTIC REGION                           ,ATLANTIC DIRECT REPORTING UNITS           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577436,2008-08-13-00.00.00.000000,"54742","32482","44248",17580325,17578456,2015-12-09-23.59.59.000000,N,"5    ","37                            ","EGLINTON & MAVIS, MISSISSAUGA, ONT.               ",TORONTO REGION                            ,GTA MISSISSAUGA OAKVILLE                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577436,2015-12-10-00.00.00.000000,"54742","32482","44248",17580325,17578456,9999-12-31-00.00.00.000000,Y,"5    ","37                            ","EGLINTON & MAVIS, MISSISSAUGA, ONT.               ",TORONTO REGION                            ,GTA MISSISSAUGA                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576568,2011-10-13-00.00.00.000000,"01602","32482","01016",17580325,17580091,9999-12-31-00.00.00.000000,Y,"5    ","35                            ","ST. CLAIR & OAKWOOD, TORONTO, ONT.                ",TORONTO REGION                            ,TORONTO WEST                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579211,2005-03-11-00.00.00.000000,"17756","68502","92536",17577462,17580791,9999-12-31-00.00.00.000000,Y,"4    ","28                            ",SMALL BUSINESS INVESTMENT                         ,ONTARIO REGION                            ,ONTARIO DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577294,2011-10-13-00.00.00.000000,"81679","20719","22699",17580231,17578451,9999-12-31-00.00.00.000000,Y,"6    ","46                            ","LACOMBE, ALBERTA                                  ",PRAIRIE REGION                            ,CENTRAL ALBERTA                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575086,2010-03-12-00.00.00.000000,"72413","12153","92353",17577393,17577664,9999-12-31-00.00.00.000000,Y,"2    ","03                            ",MT HOLLIS                                         ,ATLANTIC REGION                           ,SOUTHWEST NOVA SCOTIA                     ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575599,2011-05-11-00.00.00.000000,"50351",,"41061",-1,17575670,9999-12-31-00.00.00.000000,Y,"0    ","64                            ","ST. MALO, QUEBEC, QUEBEC                          ",NOT APPLICABLE                            ,"PRIVATE BANKING UNITS, DFCS & OTHERS      ",2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576519,2011-03-11-00.00.00.000000,"70227","68502","64188",17577462,17578459,9999-12-31-00.00.00.000000,Y,"4    ","19                            ","225 RED RIVER ROAD, THUNDER BAY                   ",ONTARIO REGION                            ,ONTARIO NORTH                             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577122,2010-03-12-00.00.00.000000,"30544","12153","20644",17577393,17580230,9999-12-31-00.00.00.000000,Y,"2    ","05                            ",GRAND FALLS                                       ,ATLANTIC REGION                           ,WEST NEW BRUNSWICK                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576726,2010-06-11-00.00.00.000000,"55442","32482","11916",17580325,17577648,9999-12-31-00.00.00.000000,Y,"5    ","32                            ","258 MAIN STREET, NEWMARKET, ONTARIO               ",TORONTO REGION                            ,GTA NORTH                                 ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575418,2004-10-08-00.00.00.000000,"30080","00810","11510",17580086,17577423,9999-12-31-00.00.00.000000,Y,"7    ","56                            ","GRANVILLE & DAVIE, VANCOUVER, B.C.                ",BRITISH COLUMBIA REGION                   ,DOWNTOWN VANCOUVER/NORTH B.C.             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575602,2011-05-11-00.00.00.000000,"90431",,"41061",-1,17575670,9999-12-31-00.00.00.000000,Y,"0    ","64                            ","PLACE STE-FOY, STE-FOY, QUEBEC                    ",NOT APPLICABLE                            ,"PRIVATE BANKING UNITS, DFCS & OTHERS      ",2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577017,2011-09-13-00.00.00.000000,"50559","20719","22699",17580231,17578451,9999-12-31-00.00.00.000000,Y,"6    ","46                            ","GAETZ AVE & 45 ST., RED DEER, ALTA.               ",PRAIRIE REGION                            ,CENTRAL ALBERTA                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576616,2011-04-16-00.00.00.000000,"40360","00810","11510",17580086,17577423,9999-12-31-00.00.00.000000,Y,"7    ","56                            ",BROADWAY & COMMERCIAL                             ,BRITISH COLUMBIA REGION                   ,DOWNTOWN VANCOUVER/NORTH B.C.             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579163,2010-05-12-00.00.00.000000,"12989",,,-1,-1,9999-12-31-00.00.00.000000,Y,"0    ","51                            ",CALGARY BSC (ALBERTA)                             ,NOT APPLICABLE                            ,COMMERCIAL BANKING                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577507,2015-06-10-00.00.00.000000,"52209","20719","42689",17580231,17578454,9999-12-31-00.00.00.000000,Y,"6    ","45                            ",MCKENZIE TOWNE CENTRE                             ,PRAIRIE REGION                            ,CALGARY SOUTH                             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577507,2010-12-12-00.00.00.000000,"52209","20719","42689",17580231,17578454,2015-06-09-23.59.59.000000,N,"6    ","45                            ",MCKENZIE TOWNE CENTRE                             ,PRAIRIE REGION                            ,CALGARY                                   ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576679,2011-07-18-00.00.00.000000,"81612","32482","81026",17580325,17580703,9999-12-31-00.00.00.000000,Y,"5    ","31                            ","ST. CLAIR & OCONNOR, TORONTO, ONT.                ",TORONTO REGION                            ,TORONTO EAST                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577032,2010-09-12-00.00.00.000000,"90779","20719","02709",17580231,17578447,9999-12-31-00.00.00.000000,Y,"6    ","48                            ","160 AVENUE & 82 STREET, EDMONTON, ALTA            ",PRAIRIE REGION                            ,EDMONTON                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576296,2009-11-11-00.00.00.000000,"72769",,,-1,-1,9999-12-31-00.00.00.000000,Y,"1    ","06                            ",LOAN DEVELOPMENT CENTRE (CALGARY)                 ,SHARED SERVICES                           ,SHARED SERVICES                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576903,2007-06-11-00.00.00.000000,"70318","20719","90548",17580231,17580766,9999-12-31-00.00.00.000000,Y,"6    ","42                            ","REGENT PARK SHOPPING PLAZA, REGINA SASK           ",PRAIRIE REGION                            ,SASKATCHEWAN SOUTH                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575405,2003-11-07-00.00.00.000000,"34066","32482","61036",17580325,17580552,9999-12-31-00.00.00.000000,Y,"5    ","40                            ","1200 MARKHAM ROAD - STUDENT LOAN CENTRE           ",TORONTO REGION                            ,TORONTO DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576785,2004-10-08-00.00.00.000000,"30130","00810","11510",17580086,17577423,9999-12-31-00.00.00.000000,Y,"7    ","56                            ","DAWSON CREEK, B.C.                                ",BRITISH COLUMBIA REGION                   ,DOWNTOWN VANCOUVER/NORTH B.C.             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577153,2003-11-07-00.00.00.000000,"20586","00661","40881",17580083,17580390,9999-12-31-00.00.00.000000,Y,"3    ","16                            ",OTTAWA DATA CENTRE ADMINISTRATION                 ,QUEBEC & EASTERN ONTARIO                  ,QUEBEC & E. ONT DIRECT REPORTING UNITS    ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576774,2006-10-13-00.00.00.000000,"40352","68502","44198",17577462,17578455,9999-12-31-00.00.00.000000,Y,"4    ","24                            ","MAIN & AINSLIE, CAMBRIDGE,  ONTARIO               ",ONTARIO REGION                            ,ONTARIO CENTRAL SOUTH                     ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577050,2007-12-11-00.00.00.000000,"60780","00810","92130",17580086,17577663,9999-12-31-00.00.00.000000,Y,"7    ","54                            ","LANGLEY, B. C.                                    ",BRITISH COLUMBIA REGION                   ,NORTH COAST & FRASER VALLEY               ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579229,2005-03-11-00.00.00.000000,"97766","68502","92536",17577462,17580791,9999-12-31-00.00.00.000000,Y,"4    ","28                            ",COMMERCIAL BANKING INVESTMENT                     ,ONTARIO REGION                            ,ONTARIO DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576929,2011-10-13-00.00.00.000000,"42242","68502","64188",17577462,17578459,9999-12-31-00.00.00.000000,Y,"4    ","19                            ","AZILDA, ONTARIO                                   ",ONTARIO REGION                            ,ONTARIO NORTH                             ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580228,2003-11-07-00.00.00.000000,"20594","12153","12393",17577393,17577650,9999-12-31-00.00.00.000000,Y,"2    ","07                            ",SAINT JOHN DATA CENTRE - POSTING                  ,ATLANTIC REGION                           ,ATLANTIC DIRECT REPORTING UNITS           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575042,2015-12-10-00.00.00.000000,"86322","32482","64238",17580325,17578460,9999-12-31-00.00.00.000000,Y,"5    ","36                            ","WILSON AND KEELE, TORONTO                         ",TORONTO REGION                            ,GTA BRAMPTON                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575042,2006-12-11-00.00.00.000000,"86322","32482","64238",17580325,17578460,2015-12-09-23.59.59.000000,N,"5    ","36                            ","WILSON AND KEELE, TORONTO                         ",TORONTO REGION                            ,GTA WEST                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
