"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","TRANSACTOR_F","CMHC_F","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17189,"1400","0599",,,,,No Exposure Class,Total PD Band,,,,,"200010","202302",N,2014-10-02-10.56.09.000000,2023-04-12-15.57.00.000000
17207,"1401","0503",0.00050000,0.00050000,"0.0500%","0.0500%",HELOC,PD Band 1,"1","1",,,"202302","999912",Y,2023-03-01-11.29.00.000000,2023-03-01-11.29.00.000000
17300,"1401","0504",0.00100000,0.00100000,"0.1000%","0.1000%",Total QRRE,PD Band 1,"1","1",N,,"202303","999912",Y,2023-04-12-15.57.00.000000,2023-04-12-15.57.00.000000
17247,"1401","0504",0.00050000,0.00050000,"0.0500%","0.0500%",Total QRRE,PD Band 1,"1","1",T,,"202302","999912",Y,2023-03-01-11.29.00.000000,2023-03-01-11.29.00.000000
17036,"1401","0507",0.00000000,0.00117000,"0.0000%","0.1170%",Other Retail,PD Band 1,"1","1",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
17530,"1402","0504",0.00100001,0.00103099,"0.1000%","0.1030%",Total QRRE,PD Band 2,"2","2",N,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17634,"1402","0504",0.00100001,0.00104734,"0.1000%","0.1047%",Total QRRE,PD Band 2,"2","2",N,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17250,"1402","0504",0.00050001,0.00082008,"0.0500%","0.0820%",Total QRRE,PD Band 2,"2","2",T,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17532,"1402","0507",0.00050001,0.00097821,"0.0500%","0.0978%",Other Retail,PD Band 2,"2","2",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17307,"1402","0599",0.00050001,0.00077127,"0.0500%","0.0771%",No Exposure Class,PD Band 2,"2","2",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
