"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17014,"1401","0501",,,,,Mortgage and HELOC,PD Band 1,"1","1","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17019,"1401","0506",,,,,LOC,PD Band 1,"1","1","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17021,"1401","0510",,,,,Residential Mortgage - CMHC Insured,PD Band 1,"1","1","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17023,"1401","0512",,,,,Residential Mortgage - Non-Insured,PD Band 1,"1","1","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17343,"1402","0502",0.00060000,0.00090000,"0.06%","0.09%",Mortgage,PD Band 2,"2","2","202401","202512",N,2024-01-29-13.42.00.000000,2026-01-08-09.59.00.000000
17552,"1403","0503",0.00140000,0.00910000,"0.14%","0.91%",HELOC,PD Band 3,"3","3","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17351,"1403","0507",0.00110000,0.00250000,"0.11%","0.25%",Other Retail,PD Band 3,"3","3","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17050,"1404","0501",,,,,Mortgage and HELOC,PD Band 4,"4","4","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17477,"1404","0503",0.01130000,0.11870000,"1.13%","11.87%",HELOC,PD Band 4,"4","4","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17052,"1404","0503",0.00730000,0.03710000,"0.7300%","3.7100%",HELOC,PD Band 4,"4","4","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17054,"1404","0505",,,,,Credit Card,PD Band 4,"4","4","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17560,"1404","0599",0.00140000,0.00200000,"0.14%","0.20%",No Exposure Class,PD Band 4,"4","4","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17360,"1405","0504",0.00770000,0.01450000,"0.77%","1.45%",Total QRRE,PD Band 5,"5","5","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17066,"1405","0505",,,,,Credit Card,PD Band 5,"5","5","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17484,"1405","0507",0.00640000,0.00970000,"0.64%","0.97%",Other Retail,PD Band 5,"5","5","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17068,"1405","0507",0.00850000,0.00920000,"0.8500%","0.9200%",Other Retail,PD Band 5,"5","5","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17072,"1405","0599",0.00330000,0.00620000,"0.3300%","0.6200%",No Exposure Class,PD Band 5,"5","5","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17074,"1406","0501",,,,,Mortgage and HELOC,PD Band 6,"6","6","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17488,"1406","0504",0.00800000,0.01510000,"0.80%","1.51%",Total QRRE,PD Band 6,"6","6","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17365,"1406","0504",0.01460000,0.02350000,"1.46%","2.35%",Total QRRE,PD Band 6,"6","6","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17088,"1407","0503",0.27140000,0.54420000,"27.1400%","54.4200%",HELOC,PD Band 7,"7","7","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17092,"1407","0507",0.01130000,0.01610000,"1.1300%","1.6100%",Other Retail,PD Band 7,"7","7","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17498,"1408","0504",0.02420000,0.02780000,"2.42%","2.78%",Total QRRE,PD Band 8,"8","8","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17575,"1408","0504",0.01310000,0.02240000,"1.31%","2.24%",Total QRRE,PD Band 8,"8","8","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17104,"1408","0507",0.01620000,0.03740000,"1.6200%","3.7400%",Other Retail,PD Band 8,"8","8","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17578,"1409","0502",0.11630000,0.20340000,"11.63%","20.34%",Mortgage,PD Band 9,"9","9","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17113,"1409","0504",0.04440000,0.05700000,"4.4400%","5.7000%",Total QRRE,PD Band 9,"9","9","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17118,"1409","0511",,,,,Residential Mortgage - Other Insured,PD Band 9,"9","9","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17128,"1410","0507",0.03850000,0.07920000,"3.8500%","7.9200%",Other Retail,PD Band 10,"10","10","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17132,"1410","0599",0.03750000,0.04430000,"3.7500%","4.4300%",No Exposure Class,PD Band 10,"10","10","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17133,"1411","0500",,,,,Total Retail,PD Band 11,"11","11","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17388,"1411","0502",0.18870000,0.37130000,"18.87%","37.13%",Mortgage,PD Band 11,"11","11","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17390,"1411","0504",0.09910000,0.13100000,"9.91%","13.10%",Total QRRE,PD Band 11,"11","11","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17142,"1411","0511",,,,,Residential Mortgage - Other Insured,PD Band 11,"11","11","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17513,"1411","0599",0.01520000,0.01900000,"1.52%","1.90%",No Exposure Class,PD Band 11,"11","11","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17151,"1412","0506",,,,,LOC,PD Band 12,"12","12","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17396,"1412","0507",0.08600000,0.17490000,"8.60%","17.49%",Other Retail,PD Band 12,"12","12","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17519,"1413","0504",0.13370000,0.24190000,"13.37%","24.19%",Total QRRE,PD Band 13,"13","13","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17166,"1413","0511",,,,,Residential Mortgage - Other Insured,PD Band 13,"13","13","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17404,"1414","0503",0.99880000,0.99880000,"99.88%","99.88%",HELOC,PD Band 14,"14","14","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17523,"1414","0507",0.21870000,0.22040000,"21.87%","22.04%",Other Retail,PD Band 14,"14","14","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17176,"1414","0507",0.19440000,0.20160000,"19.4400%","20.1600%",Other Retail,PD Band 14,"14","14","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17599,"1415","0507",0.03640000,0.05720000,"3.64%","5.72%",Other Retail,PD Band 15,"15","15","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17190,"1415","0511",,,,,Residential Mortgage - Other Insured,PD Band 15,"15","15","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17193,"1416","0500",,,,,Total Retail,PD Band 16,"16","16","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17197,"1416","0504",0.48940000,0.60740000,"48.9400%","60.7400%",Total QRRE,PD Band 16,"16","16","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
