"SRC_SYS_CD","PRD_ID","PRD_CD","BASEL_PRD_CD","BASEL_PRD_TP_CD","ASST_CL_NUM","ASST_CL_DESC","PORTFL_NM","PRD_NM","SUB_PRD_NM","BASEL_SUB_PRD_NM","BCAR_SCHED_NUM","NCR_EXPSR_CL_KEY_VAL","CCAR_BASEL_PRD_TP_NM","CCAR_SHT_NM","CRNCY_OF_ACCT","NCR_RT_KEY_VAL","BASEL_PRD","BASEL_PRD_ABR","SCRTY_TP","PD_BAND_EXPSR_CL_KEY_VAL","PD_BAND_EXPSR_CL_DESC","NCR_EXPSR_CL_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
SPL       ,S14       ,INDIRECT OTHER,ITL       ,ITL OTHER           ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT OTHER,"32 ","0507",ITL_OTHER                                         ,ITLOTHER  ,CAD       ,"0701",SPL INDIRECT,INDIRECT OTHER,INDIRECT OTHER,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S03       ,DIRECT CLIP,DTL       ,DTL CLIP            ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT CLIP SECURED,"32 ","0507",DTL_CLIP                                          ,DTLCLIP   ,CAD       ,"0701",SPL DIRECT,DIRECT CLIP,DIRECT SECURED,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S11       ,INDIRECT HOME IMPROVEMENT,ITL       ,ITL HI              ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT HOME IMPROVEMENT,"32 ","0507",ITL_HI                                            ,ITLHI     ,CAD       ,"0701",SPL INDIRECT,INDIRECT HOME IMPROVEMENT,INDIRECT OTHER,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S08       ,SPL UNDER STEP,DTL       ,DTL STEP            ,1,REAL ESTATE SECURED,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT STEP SECURED,"30 ","0512",DTL_STEP                                          ,DTLSTEP   ,CAD       ,"0701",SPL DIRECT,SPL UNDER STEP,SPL UNDER STEP,"0502",MORTGAGES,RESIDENTIAL MORTGAGE - NON-INSURED,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S05       ,DIRECT REAL ESTATE,DTL       ,DTL RRE             ,1,REAL ESTATE SECURED,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT REAL ESTATE SECURED,"30 ","0512",DTL_RRE                                           ,DTLRRE    ,CAD       ,"0701",SPL DIRECT,DIRECT REAL ESTATE,DIRECT SECURED,"0502",MORTGAGES,RESIDENTIAL MORTGAGE - NON-INSURED,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S15       ,INDIRECT RV,ITL       ,ITL RV              ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT RV,"32 ","0507",ITL_RV                                            ,ITLRV     ,CAD       ,"0701",SPL INDIRECT,INDIRECT RV,INDIRECT OTHER,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S13       ,INDIRECT MARINE,ITL       ,ITL MARINE          ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT MARINE,"32 ","0507",ITL_MARINE                                        ,ITLMARINE ,CAD       ,"0701",SPL INDIRECT,INDIRECT MARINE,INDIRECT OTHER,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S02       ,DIRECT CASH/RRC,DTL       ,DTL CASH            ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT CASH/RRC SECURED,"32 ","0507",DTL_CASH                                          ,DTLCASH   ,CAD       ,"0701",SPL DIRECT,DIRECT CASH/RRC,DIRECT SECURED,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S07       ,DIRECT UNSECURED OTHER,DTL       ,DTL UNSEC           ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT UNSECURED OTHER,"32 ","0507",DTL_UNSEC                                         ,DTLUNSEC  ,CAD       ,"0701",SPL DIRECT,DIRECT UNSECURED OTHER,DIRECT UNSECURED,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S01       ,DIRECT AUTO,DTL       ,DTL AUTO            ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT AUTO SECURED,"32 ","0507",DTL_AUTO                                          ,DTLAUTO   ,CAD       ,"0701",SPL DIRECT,DIRECT AUTO,DIRECT SECURED,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S06       ,DIRECT RSP LOANS,DTL       ,DTL RSP             ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT RSP LOANS UNSECURED,"32 ","0507",DTL_RSP                                           ,DTLRSP    ,CAD       ,"0701",SPL DIRECT,DIRECT RSP LOANS,DIRECT UNSECURED,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S04       ,DIRECT OTHER DEPRECIABLE,DTL       ,DTL OTHER           ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL DIRECT,SPL DIRECT OTHER DEPRECIABLE SECURED,"32 ","0507",DTL_OTHER                                         ,DTLOTHER  ,CAD       ,"0701",SPL DIRECT,DIRECT OTHER DEPRECIABLE,DIRECT SECURED,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2015-05-19-11.22.02.000000
SPL       ,S12       ,INDIRECT LEISURE,ITL       ,ITL LEISURE         ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT LEISURE,"32 ","0507",ITL_LEISURE                                       ,ITLLEISURE,CAD       ,"0701",SPL INDIRECT,INDIRECT LEISURE,INDIRECT OTHER,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2023-03-11-08.13.44.322264
SPL       ,S10       ,INDIRECT AUTO - RATE SUBVENTED,ITL       ,ITL AUTO RS         ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT AUTO RATE SUBVENTED,"32 ","0507",ITL_AUTO_RS                                       ,ITLAUTORS ,CAD       ,"0701",SPL INDIRECT,INDIRECT AUTO - RATE SUBVENTED,INDIRECT AUTO,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2023-03-11-08.13.44.343679
SPL       ,S09       ,INDIRECT AUTO - REGULAR,ITL       ,ITL AUTO REG        ,2,OTHER RETAIL,CONSUMER                                          ,SPL                                               ,SPL INDIRECT,SPL INDIRECT AUTO REGULAR,"32 ","0507",ITL_AUTO_REG                                      ,ITLAUTOREG,CAD       ,"0701",SPL INDIRECT,INDIRECT AUTO - REGULAR,INDIRECT AUTO,"0507",OTHER RETAIL,OTHER RETAIL,2015-05-19-11.22.02.000000,2023-03-11-08.13.44.355416
