"SCRTY_CD","EFF_FROM_YR_MTH","SCRTY_DESC","TP","PRD","SUB_PRD","STEP_F","BASEL_PRD","BASEL_SUB_PRD","BASEL_PROD_ABR","PRD_ID","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
278,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
260,"200001",STEP,DIRECT    ,SPL UNDER STEP,SPL UNDER STEP,Y,SPL UNDER STEP,SPL UNDER STEP,SPL UNDER STEP,S08       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
81,"200001",MOTORCYCLE,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
71,"200001",MUSICAL INSTRUMENT,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
855,"200001",OTHER,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
27,"200001",AUTO,INDIRECT  ,AUTO,REGULAR,,INDIRECT AUTO,INDIRECT AUTO - REGULAR,INDIRECT AUTO - REGULAR,S09       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
220,"200001",POWERBOAT,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
50,"200001",MARINE,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
37,"200001",FURNITURE,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
251,"200001",REDEEMABLE GICS,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
