"REPLICATION_METHOD","REPLICATION_SEQUENCE","IIAS_SCHEMA","GCP_SCHEMA","TABLE_NAME"
Ingress,1,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,AIRB_MORT_MTH_SNAPSHOT_LGD
Ingress,1,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,BNS_LGD_D_SCORED_SEG_ACCTS_ANTQ_LGD
Ingress,1,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,BNS_LGD_ND_SCORED_SEG_ACCTS_ANTQ_LGD
Ingress,1,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,BNSMORT_ACCT_LVL_DATA_LGD
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_MODEL_LGD
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_MODEL_REL
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_MODEL_SCORECRD_DTL
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_MODEL_SCORECRD_HDR
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_SEG
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,TM_DIM
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_CUST_SCORECRD_DRVD_VARS
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_PSNL_LOAN_MTH_SNAPSHOT
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_REVLVNG_CR_ACCT_DRVD_VARS
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_REVLVNG_CR_BASE_DRVD_VARS
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_REVLVNG_CR_MTH_SNAPSHOT
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_STEP_SCORECRD_DRVD_VARS
Ingress,1,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,CR_BUREAU_DELI_MTH_SNAPSHOT
Egress,1,EDRLGD,rrap_batch,lgd_acct_score_detail
Egress,1,EDRLGD,rrap_batch,lgd_acct_score_seg
Egress,2,EDRLGD,rrap_batch,lgd_drvd_vars
Egress,2,EDRLGD,rrap_batch,lgd_rlz_final
Egress,2,EDRLGD,rrap_batch,lgd_rlz_ind_cost
Egress,2,EDRLGD,rrap_batch,lgd_rlz_rcvry
Egress,2,EDRLGD,rrap_batch,lgd_seg_mth_rlz_val
Egress,2,EDRLGD,rrap_batch,mth_alloc_ind_cost
Egress,2,EDRLGD,rrap_batch,mth_src_ind_cost_drvd
Egress,2,EDRLGD,rrap_batch,new_dflt_events
Egress,2,EDRLGD,rrap_batch,lgd_seg_xref
Egress,2,EDRLGD,rrap_batch,mth_acct_rcvry
Egress,2,EDRLGD,rrap_batch,lgd_src_input
Egress,2,EDRLGD,rrap_batch,lgd_base_vars
Ingress,2,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,BNS_LGD_D_SCORED_SEG_ACCTS_ANTQ_LGD
Ingress,2,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,STATUS_FINAL
Ingress,2,FRG_USER_DATA,cida-edm-vx9m.raw_IIAS_BLUDB_FRG_USER_DATA,SCORECARD_VARS_FINAL
Ingress,2,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_DFT_LKP
Ingress,2,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,IND_COST_DFT_ALLOC_LKP
Ingress,2,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,IND_COST_PRD_ALLOC_LKP
Ingress,2,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,BASEL_PNL_LN_LGD_SEG_ACCT_XREF
Ingress,2,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,LGD_SEG_ACCT_XREF
Ingress,2,EDRTLRP1D,cida-edm-vx9m.raw_IIAS_BLUDB_EDRTLRP1D,MTH_SRC_IND_COST
