"SRC_SYS_CD","BCAR_SCHED_NUM","ASST_CL_NUM","BASEL_PRD_TP_CD","PRD_CD","SUB_PRD_CD","RNTL_PRPTY_F","CLP_FLAG","TRANSACTOR_FLAG_QRR","TOT_EXPSR_ABOVE_LMT_F","BCAR_SCHED_NUM_50","BCAR_SCHED_NM","BCAR_SCHED_SORT","CRNT_F","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS,"32",2,,,,,,,Y,"50.210",Non-regulatory Retail,200,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VCL,CC,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VCL,SL,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,AXP,PC,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,AXP,PC,Y,,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VCL,RG,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VCL,SV,Y,,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VGD,PB,Y,,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VGD,SP,Y,,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VFF,TR,Y,,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VGD,BA,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,VGD,RG,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,SCL,IL,Y,Y,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS,"31",1,HELOC,AXS,SS,Y,,,,"50.250",Income-Producing HELOCs,40,Y,"202302","999912",2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
