"SOURCE_SYSTEM_CODE","BASEL_MORTGAGE_INSURER_GROUP_DES","BULK_INDICATOR","BASEL_PRODUCT_CODE","BASEL_PRODUCT_TYPE_CODE","ASSET_CLASS_NUMBER","ASSET_CLASS_DESCRIPTION","PRODUCT_ID","PORTFOLIO_NAME","PRODUCT_NAME","SUB_PRODUCT_NAME","BASEL_SUB_PRODUCT_NAME","BCAR_SCHEDULE_NUMBER","NCR_EXPOSURE_CLASS_KEY_VALUE","CCAR_BASEL_PRODUCT_TYPE_NAME","CCAR_SHORT_NAME","CURRENCY_OF_ACCOUNT","BASEL_PRODUCT","BASEL_PROD_ABBR","SECURITY_TYPE","PD_BAND_EXPOSURE_CLASS_KEY_VALUE","PD_BAND_EXPOSURE_CLASS_DESCRIPTI","NCR_EXPOSURE_CLASS_DESCRIPTION","DT4_RISK_RT_KEY_VAL","DT4_EXPSR_CL_KEY_VAL","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
TNG-MOR,AIG INSURANCE,Y,MTG TNG,GUARANTY B,1,REAL ESTATE SECURED,M29,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY BULK INSURED,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY BULK INSURED,TNG GUARANTY BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CMHC BLOCK,Y,MTG TNG,CMHC B,1,REAL ESTATE SECURED,M19,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE CMHC BULK INSURED,30,"0510",CMHC_B_TNG,CMHCBTNG,CAD,TNG CMHC BULK INSURED,TNG CMHC BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CONVENTIONAL,Y,MTG TNG,GENWORTH B,1,REAL ESTATE SECURED,M33,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GENWORTH BULK INSURED,30,"0511",GENW_B_TNG,GEBTNG,CAD,TNG GENWORTH BULK INSURED,TNG GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CANADA GUARANTY,Y,MTG TNG,GUARANTY B,1,REAL ESTATE SECURED,M25,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY BULK INSURED,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY BULK INSURED,TNG GUARANTY BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,GE BULK INS,Y,MTG TNG,GENWORTH B,1,REAL ESTATE SECURED,M23,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GENWORTH BULK INSURED,30,"0511",GENW_B_TNG,GEBTNG,CAD,TNG GENWORTH BULK INSURED,TNG GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,MAGIC INSURANCE,Y,MTG TNG,GUARANTY B,1,REAL ESTATE SECURED,M31,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY BULK INSURED,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY BULK INSURED,TNG GUARANTY BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,GE CAPITAL,Y,MTG TNG,GENWORTH B,1,REAL ESTATE SECURED,M21,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GENWORTH BULK INSURED,30,"0511",GENW_B_TNG,GEBTNG,CAD,TNG GENWORTH BULK INSURED,TNG GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,MICC,Y,MTG TNG,GUARANTY B,1,REAL ESTATE SECURED,M27,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY BULK INSURED,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY BULK INSURED,TNG GUARANTY BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,MICC,Y,MTG BNS,GENWORTH B,1,REAL ESTATE SECURED,M10,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH BULK INSURED,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH BULK INSURED,BNS GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CANADA MORTGAGE AND HOUSING CORPORATION,Y,MTG TNG,CMHC B,1,REAL ESTATE SECURED,M17,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE CMHC BULK INSURED,30,"0510",CMHC_B_TNG,CMHCBTNG,CAD,TNG CMHC BULK INSURED,TNG CMHC BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
