"SRC_SYS_CD","PRD_ID","PRD_CD","BASEL_PRD_CD","BASEL_PRD_TP_CD","ASST_CL_NUM","ASST_CL_DESC","PORTFL_NM","PRD_NM","SUB_PRD_NM","BASEL_SUB_PRD_NM","BCAR_SCHED_NUM","NCR_EXPSR_CL_KEY_VAL","CCAR_BASEL_PRD_TP_NM","CCAR_SHT_NM","CRNCY_OF_ACCT","NCR_RT_KEY_VAL","BASEL_PRD","BASEL_PRD_ABR","SCRTY_TP","PD_BAND_EXPSR_CL_KEY_VAL","PD_BAND_EXPSR_CL_DESC","NCR_EXPSR_CL_DESC","DT4_RISK_RT_KEY_VAL","DT4_EXPSR_CL_KEY_VAL","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
SPL,S04,Direct Other Depreciable,DTL,DTL OTHER,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct Other Depreciable Secured,"32","0507",DTL_OTHER,DTLOTHER,CAD,"0701",SPL Direct,Direct Other Depreciable,Direct Secured,"0507",Other Retail,Other Retail,"0214","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S01,Direct Auto,DTL,DTL AUTO,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct Auto Secured,"32","0507",DTL_AUTO,DTLAUTO,CAD,"0701",SPL Direct,Direct Auto,Direct Secured,"0507",Other Retail,Other Retail,"0214","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S13,Indirect Marine,ITL,ITL MARINE,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Marine,"32","0507",ITL_MARINE,ITLMARINE,CAD,"0701",SPL Indirect,Indirect Marine,Indirect Other,"0507",Other Retail,Other Retail,"0215","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S03,Direct CLIP,DTL,DTL CLIP,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct CLIP Secured,"32","0507",DTL_CLIP,DTLCLIP,CAD,"0701",SPL Direct,Direct CLIP,Direct Secured,"0507",Other Retail,Other Retail,"0214","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S09,Indirect Auto - Regular,ITL,ITL AUTO REG,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Auto Regular,"32","0507",ITL_AUTO_REG,ITLAUTOREG,CAD,"0701",SPL Indirect,Indirect Auto - Regular,Indirect Auto,"0507",Other Retail,Other Retail,"0215","5506","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S11,Indirect Home Improvement,ITL,ITL HI,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Home Improvement,"32","0507",ITL_HI,ITLHI,CAD,"0701",SPL Indirect,Indirect Home Improvement,Indirect Other,"0507",Other Retail,Other Retail,"0215","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S10,Indirect Auto - Rate Subvented,ITL,ITL AUTO RS,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Auto Rate Subvented,"32","0507",ITL_AUTO_RS,ITLAUTORS,CAD,"0701",SPL Indirect,Indirect Auto - Rate Subvented,Indirect Auto,"0507",Other Retail,Other Retail,"0215","5506","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S08,SPL under STEP,DTL,DTL STEP,1,Real Estate Secured,Consumer,SPL,SPL Direct,SPL Direct Step Secured,"30","0512",DTL_STEP,DTLSTEP,CAD,"0701",SPL Direct,SPL under STEP,SPL under STEP,"0502",Mortgages,Residential Mortgage - Non-Insured,"0214","5502","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S02,Direct CASH/RRC,DTL,DTL CASH,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct CASH/RRC Secured,"32","0507",DTL_CASH,DTLCASH,CAD,"0701",SPL Direct,Direct CASH/RRC,Direct Secured,"0507",Other Retail,Other Retail,"0214","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
SPL,S14,Indirect OTHER,ITL,ITL OTHER,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Other,"32","0507",ITL_OTHER,ITLOTHER,CAD,"0701",SPL Indirect,Indirect OTHER,Indirect Other,"0507",Other Retail,Other Retail,"0215","5508","200010","999912",Y,2021-10-29-14.04.00.000000,2021-10-29-14.04.00.000000
