"PRD_SYS_CD","SRC_PRD_CD","SRC_SUB_PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","BASEL_PRD_CD","BASEL_PRD_DESC","PRD_DESC","LTV_TP_CD","SML_BUS_F","CONSM_SCORECRD_EXCLSN_F","CONSM_PRD_TREATMNT_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS   ,VFB       ,TB        ,"201812","999912",CC        ,Credit Card,Splash Small Business Visa,VISA      ,Y,Y,Z         ,Y,2019-01-21-16.20.50.000000,2019-01-21-16.20.50.000000
KS   ,AXG       ,GS        ,"200001","999912",CC        ,Credit Card,Scotia AMEX GOLD,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,ST        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,CC        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-25-10.25.16.000000,2014-07-25-10.25.16.000000
KS   ,SCL       ,RS        ,"200001","999912",LOC       ,Line Of Credit,Scotia Line (including Scotia Student Line),LOC       ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,SS        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,BLV       ,MB        ,"200001","999912",LOC       ,Line Of Credit,Business Line Visa - Momentum,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,SL        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,LOC       ,BC        ,"200001","999912",SL        ,Student Loan,Goverment Student Loans,VISA      ,N,Y,S         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,SSL       ,LN        ,"200001","999912",SL        ,Student Loan,Scotia Student Loan,LOC       ,N,Y,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,NH        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VGD       ,BA        ,"200001","999912",CC        ,Credit Card,VISA Gold/Passport,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VLR       ,RC        ,"200001","999912",CC        ,Credit Card,Value VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,BLV       ,UNI       ,"200001","999912",LOC       ,Line Of Credit,Business Line Visa,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,BLV       ,AGU       ,"200001","999912",LOC       ,Line Of Credit,Business Line Visa - Agr,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,SCL       ,IM        ,"200001","999912",LOC       ,Line Of Credit,Scotia Line (including Scotia Student Line),LOC       ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,AXG       ,GC        ,"200001","999912",CC        ,Credit Card,Scotia AMEX GOLD,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,SSL       ,LI        ,"200001","999912",SL        ,Student Loan,Scotia Line (including Scotia Student Line),LOC       ,N,Y,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,BLV       ,INC       ,"200001","999912",LOC       ,Line Of Credit,Business Line Visa,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
