"PRPTY_LOCTN_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","LOCTN_LABEL_1","LOCTN_LABEL_2","LOCTN_LABEL_2_ORIG","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Springwater,"202211","999912",ON,Barrie,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Juan de Fuca (Part 1),"202211","999912",BC,Victoria,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Grand Bay-Westfield,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bauline,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Flatrock,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Southwold,"202211","999912",ON,London,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Waterloo,"202211","999912",ON,Kitchener - Cambridge - Waterloo,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Maurice,"202211","999912",QC,Trois-Rivieres,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Peachland,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hopewell,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kingston,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lepreau,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
BECANCOUR,"202211","999912",QC,Trois-Rivieres,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Hatley,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thurso,"202211","999912",QC,OTTAWA_GATINEAU,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Riverview,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lochaber-Partie-Ouest,"202211","999912",QC,OTTAWA_GATINEAU,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Barons,"202211","999912",AB,Lethbridge,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Matsqui Main 2,"202211","999912",BC,Abbotsford - Mission,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tsinstikeptum 9,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Norton,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ST MARTINS,"202211","999912",NB,Saint John,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Petty Harbour-Maddox Cove,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hiawatha First Nation,"202211","999912",ON,Peterborough,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Logy Bay-Middle Cove-Outer Cove,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Witless Bay,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Adelaide-Metcalfe,"202211","999912",ON,London,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Gillies,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Markstay-Warren,"202211","999912",ON,Greater Sudbury / Grand Sudbury,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Middlesex Centre,"202211","999912",ON,London,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Neebing,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Oliver Paipoonge,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Waterville,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thorold,"202211","999912",ON,St. Catharines - Niagara,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Compton,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Luc-de-Vincennes,"202211","999912",QC,Trois-Rivieres,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Conmee,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Guelph/Eramosa,"202211","999912",ON,Guelph,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
LaSalle,"202211","999912",ON,Windsor,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Loyalist,"202211","999912",ON,Kingston,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Ascot Corner,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Clarington,"202211","999912",ON,Oshawa,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Frontenac Islands,"202211","999912",ON,Kingston,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
INNISFIL,"202211","999912",ON,Barrie,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
O'Connor,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
South Frontenac,"202211","999912",ON,Kingston,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Picture Butte,"202211","999912",AB,Lethbridge,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fraser Valley H,"202211","999912",BC,Abbotsford - Mission,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ST THOMAS,"202211","999912",ON,London,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tecumseh,"202211","999912",ON,Windsor,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thames Centre,"202211","999912",ON,London,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wahnapitei 11,"202211","999912",ON,Greater Sudbury / Grand Sudbury,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Woolwich,"202211","999912",ON,Kitchener - Cambridge - Waterloo,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Dumfries,"202211","999912",ON,Kitchener - Cambridge - Waterloo,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Shuniah,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tyendinaga,"202211","999912",ON,Belleville,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Memramcook,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint Martins,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Westfield,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cavan Monaghan,"202211","999912",ON,Peterborough,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lethbridge County,"202211","999912",AB,Lethbridge,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Dieppe,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Paul,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Upham,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mission,"202211","999912",BC,Abbotsford - Mission,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coverdale,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Elgin,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hillsborough,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bay Bulls,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Whitefish Lake 6,"202211","999912",ON,Greater Sudbury / Grand Sudbury,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hatley,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lochaber,"202211","999912",QC,OTTAWA_GATINEAU,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Antoine-de-Tilly,"202211","999912",QC,Quebec,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Yamachiche,"202211","999912",QC,Trois-Rivieres,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wallace Hills 14A,"202211","999912",NS,Halifax,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Douro-Dummer,"202211","999912",ON,Peterborough,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fort William 52,"202211","999912",ON,Thunder Bay,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Quinte West,"202211","999912",ON,Belleville,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Selwyn,"202211","999912",ON,Peterborough,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Six Nations (Part) 40,"202211","999912",ON,Brantford,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mount Pearl,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Curve Lake First Nation 35,"202211","999912",ON,Peterborough,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
FORT ERIE,"202211","999912",ON,St. Catharines - Niagara,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Greater Sudbury / Grand Sudbury,"202211","999912",ON,Greater Sudbury / Grand Sudbury,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Grenville,"202211","999912",ON,OTTAWA_GATINEAU,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Val-Joli,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pelham,"202211","999912",ON,St. Catharines - Niagara,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Strathroy-Caradoc,"202211","999912",ON,London,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lakeshore,"202211","999912",ON,Windsor,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Otonabee-South Monaghan,"202211","999912",ON,Peterborough,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wainfleet,"202211","999912",ON,St. Catharines - Niagara,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Orford,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Stoke,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Duck Lake 7,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tsinstikeptum 10,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Dorchester,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Champlain,"202211","999912",QC,Trois-Rivieres,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Denis-de-Brompton,"202211","999912",QC,Sherbrooke,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wôlinak,"202211","999912",QC,Trois-Rivieres,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coalhurst,"202211","999912",AB,Lethbridge,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
