"EXCLUDED_TRNST_NUM","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"00844",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"83121",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"40824",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"04036",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"71506",2015-06-14-13.37.58.000000,2015-06-14-13.37.58.000000
"77446",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"98392",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"95042",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"74252",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"99432",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"89672",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"04622",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"54262",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"82842",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"32862",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"32201",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"91819",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"20834",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"33282",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"04242",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"53082",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"71316",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
"18192",2014-07-10-15.37.58.000000,2014-07-10-15.37.58.000000
